id,race_id,bet_type,combination,payout
319456,202609010408,単勝,15,15000
319466,202609010409,単勝,9,9000
319476,202609010410,単勝,14,14000
319486,202609010411,単勝,15,15000
319496,202609010412,単勝,16,16000
319506,202610011201,単勝,16,15000
319517,202610011202,単勝,16,16000
319527,202610011203,単勝,14,14000
319537,202610011204,単勝,12,12000
319547,202610011205,単勝,18,18000
319557,202610011206,単勝,16,16000
319567,202610011207,単勝,18,18000
319577,202610011208,単勝,15,15000
319587,202610011209,単勝,18,18000
319597,202610011210,単勝,18,18000
319607,202610011211,単勝,17,17000
319617,202610011212,単勝,16,16000
319627,202606020301,単勝,16,16000
319637,202606020302,単勝,15,14000
319648,202606020303,単勝,16,16000
319658,202606020304,単勝,14,14000
319668,202606020305,単勝,18,18000
319677,202606020306,単勝,18,18000
319687,202606020307,単勝,16,15000
319697,202606020308,単勝,14,14000
319707,202606020309,単勝,13,13000
319717,202606020310,単勝,14,14000
319727,202606020311,単勝,16,16000
319737,202606020312,単勝,16,16000
319747,202609010501,単勝,14,14000
319757,202609010502,単勝,16,16000
319767,202609010503,単勝,13,13000
319777,202609010504,単勝,13,13000
319787,202609010505,単勝,18,18000
319797,202609010506,単勝,12,12000
319807,202609010507,単勝,8,8000
319816,202609010508,単勝,10,10000
319826,202609010509,単勝,9,9000
319836,202609010510,単勝,15,15000
319846,202609010511,単勝,18,18000
319856,202609010512,単勝,16,16000
319866,202606020401,単勝,16,16000
319876,202606020402,単勝,16,16000
319886,202606020403,単勝,14,14000
319896,202606020404,単勝,14,14000
319905,202606020405,単勝,16,16000
319915,202606020406,単勝,16,16000
319924,202606020407,単勝,11,11000
319934,202606020408,単勝,13,13000
319944,202606020409,単勝,16,16000
319954,202606020410,単勝,15,15000
319963,202606020411,単勝,10,10000
319973,202606020412,単勝,16,16000
319983,202609010601,単勝,12,12000
319993,202609010602,単勝,16,16000
320002,202609010603,単勝,14,14000
320011,202609010604,単勝,16,16000
320021,202609010605,単勝,16,16000
320031,202609010606,単勝,9,9000
320041,202609010607,単勝,9,9000
320051,202609010608,単勝,9,9000
320061,202609010609,単勝,6,6000
320069,202609010610,単勝,14,14000
320081,202609010611,単勝,13,13000
320091,202609010612,単勝,14,13000
320101,202606020501,単勝,15,15000
320111,202606020502,単勝,16,16000
320121,202606020503,単勝,16,16000
320131,202606020504,単勝,16,16000
320140,202606020505,単勝,16,16000
320150,202606020506,単勝,16,16000
320160,202606020507,単勝,10,10000
320169,202606020508,単勝,16,16000
320179,202606020509,単勝,11,10000
320190,202606020510,単勝,16,16000
320200,202606020511,単勝,16,16000
320210,202606020512,単勝,16,16000
320220,202607010101,単勝,10,10000
320230,202607010102,単勝,16,16000
320240,202607010103,単勝,13,13000
320249,202607010104,単勝,16,16000
320259,202607010105,単勝,18,18000
320269,202607010106,単勝,16,16000
320279,202607010107,単勝,16,16000
320288,202607010108,単勝,16,16000
320298,202607010109,単勝,10,10000
320308,202607010110,単勝,10,10000
320318,202607010111,単勝,14,14000
320328,202607010112,単勝,18,18000
320337,202609010701,単勝,13,13000
320347,202609010702,単勝,16,16000
320357,202609010703,単勝,13,13000
320367,202609010704,単勝,18,18000
320377,202609010705,単勝,18,17000
320388,202609010706,単勝,13,13000
320398,202609010707,単勝,16,16000
320408,202609010708,単勝,10,10000
320418,202609010709,単勝,15,15000
320428,202609010710,単勝,11,11000
320437,202609010711,単勝,13,13000
320447,202609010712,単勝,8,8000
320456,202606020601,単勝,16,16000
320466,202606020602,単勝,16,16000
320476,202606020603,単勝,16,16000
320486,202606020604,単勝,16,16000
320496,202606020605,単勝,18,18000
320506,202606020606,単勝,16,16000
320516,202606020607,単勝,15,15000
320526,202606020608,単勝,10,10000
320536,202606020609,単勝,11,11000
320546,202606020610,単勝,16,16000
320556,202606020611,単勝,16,16000
320566,202606020612,単勝,16,16000
320576,202607010201,単勝,16,16000
320586,202607010202,単勝,13,13000
320596,202607010203,単勝,16,16000
320606,202607010204,単勝,18,18000
320616,202607010205,単勝,15,15000
320626,202607010206,単勝,16,16000
320636,202607010207,単勝,15,15000
320646,202607010208,単勝,12,12000
320656,202607010209,単勝,16,15000
320668,202607010210,単勝,12,12000
320678,202607010211,単勝,14,14000
320688,202607010212,単勝,18,18000
320698,202609010801,単勝,16,16000
320708,202609010802,単勝,14,14000
320718,202609010803,単勝,16,16000
320728,202609010804,単勝,14,14000
320738,202609010805,単勝,16,16000
320748,202609010806,単勝,11,11000
320758,202609010807,単勝,13,13000
320768,202609010808,単勝,11,11000
320778,202609010809,単勝,7,7000
320786,202609010810,単勝,14,14000
320796,202609010811,単勝,16,16000
320806,202609010812,単勝,13,13000
320816,202606020701,単勝,16,16000
320826,202606020702,単勝,12,12000
320836,202606020703,単勝,16,16000
320846,202606020704,単勝,13,13000
320856,202606020705,単勝,13,13000
320866,202606020706,単勝,13,13000
320876,202606020707,単勝,16,16000
320886,202606020708,単勝,10,10000
320896,202606020709,単勝,16,15000
320906,202606020710,単勝,13,13000
320916,202606020711,単勝,16,16000
320926,202606020712,単勝,16,16000
320936,202607010301,単勝,13,13000
320946,202607010302,単勝,16,16000
320956,202607010303,単勝,13,13000
320966,202607010304,単勝,18,18000
320975,202607010305,単勝,18,18000
320985,202607010306,単勝,18,18000
