id,race_id,bet_type,combination,payout,popularity
589020,202508020702,単勝,10,10000,
589028,202508020703,単勝,17,17000,
589036,202508020704,単勝,16,16000,
589045,202508020705,単勝,15,15000,
589052,202508020706,単勝,14,14000,
589060,202508020707,単勝,13,13000,
589068,202508020708,単勝,10,10000,
589076,202508020709,単勝,10,10000,
589084,202508020710,単勝,16,16000,
589093,202508020711,単勝,11,11000,
589101,202508020712,単勝,10,10000,
589109,202504010601,単勝,16,16000,
589118,202504010602,単勝,15,15000,
589126,202504010603,単勝,13,13000,
589134,202504010604,単勝,13,13000,
589153,202504010606,単勝,14,14000,
589162,202504010607,単勝,13,13000,
589170,202504010608,単勝,14,14000,
589178,202504010609,単勝,16,16000,
589186,202504010610,単勝,10,10000,
589195,202504010611,単勝,16,16000,
589203,202504010612,単勝,15,15000,
589213,202505020801,単勝,16,16000,
589221,202505020802,単勝,16,16000,
589229,202505020803,単勝,14,14000,
589238,202505020804,単勝,14,14000,
589247,202505020805,単勝,13,13000,
589256,202505020806,単勝,16,16000,
589264,202505020807,単勝,10,10000,
589272,202505020808,単勝,9,9000,
589280,202505020809,単勝,9,9000,
589288,202505020810,単勝,16,16000,
589304,202505020812,単勝,16,16000,
589314,202508020801,単勝,16,16000,
589331,202508020803,単勝,16,16000,
589341,202508020804,単勝,12,12000,
589357,202508020806,単勝,16,16000,
589365,202508020807,単勝,10,10000,
589373,202508020808,単勝,10,10000,
589389,202508020810,単勝,12,12000,
589397,202508020811,単勝,16,16000,
589406,202508020812,単勝,16,16000,
589415,202504010701,単勝,14,14000,
589423,202504010702,単勝,15,15000,
589431,202504010703,単勝,15,15000,
589439,202504010704,単勝,13,13000,
589447,202504010705,単勝,16,16000,
589463,202504010707,単勝,16,16000,
589472,202504010708,単勝,15,15000,
589480,202504010709,単勝,15,15000,
589490,202504010710,単勝,16,16000,
589500,202504010711,単勝,16,16000,
589518,202505020901,単勝,16,16000,
589526,202505020902,単勝,16,16000,
589534,202505020903,単勝,16,16000,
589542,202505020904,単勝,18,18000,
589549,202505020905,単勝,17,17000,
589565,202505020907,単勝,13,13000,
589575,202505020908,単勝,16,16000,
589583,202505020909,単勝,9,9000,
589591,202505020910,単勝,12,12000,
589599,202505020911,単勝,16,16000,
589607,202505020912,単勝,14,14000,
589615,202508020901,単勝,16,16000,
589623,202508020902,単勝,16,16000,
589642,202508020904,単勝,18,18000,
589650,202508020905,単勝,16,16000,
589658,202508020906,単勝,9,9000,
589666,202508020907,単勝,12,12000,
589674,202508020908,単勝,16,16000,
589682,202508020909,単勝,13,13000,
589690,202508020910,単勝,8,8000,
589696,202508020911,単勝,16,16000,
589703,202508020912,単勝,13,13000,
589719,202504010802,単勝,15,15000,
589726,202504010803,単勝,15,15000,
589734,202504010804,単勝,14,14000,
589751,202504010806,単勝,16,16000,
589761,202504010807,単勝,15,15000,
