11:02:26 INFO src.database.init_db: マイグレーション: v_race_mart ビューを再作成しました
11:02:26 INFO src.database.init_db: DB 初期化完了: C:\dev\horse-racing-ai\data\umalogi.db
11:02:26 INFO __main__: 払戻未取得レース: 910 件 (year=2026)
払戻取得:  13%|#2        | 114/910 [05:30<37:15,  2.81s/race, empty=0, err=0, saved=114]11:07:59 INFO src.database.init_db: 払戻保存: race_id=202608010507, 12 件
払戻取得:  13%|#2        | 115/910 [05:33<37:18,  2.82s/race, empty=0, err=0, saved=115]11:08:02 INFO src.database.init_db: 払戻保存: race_id=202608010508, 12 件
払戻取得:  13%|#2        | 116/910 [05:36<37:53,  2.86s/race, empty=0, err=0, saved=116]11:08:05 INFO src.database.init_db: 払戻保存: race_id=202608010509, 12 件
払戻取得:  13%|#2        | 117/910 [05:39<38:23,  2.90s/race, empty=0, err=0, saved=117]11:08:08 INFO src.database.init_db: 払戻保存: race_id=202608010510, 12 件
払戻取得:  13%|#2        | 118/910 [05:41<37:48,  2.86s/race, empty=0, err=0, saved=118]11:08:11 INFO src.database.init_db: 払戻保存: race_id=202608010511, 12 件
払戻取得:  13%|#3        | 119/910 [05:44<37:58,  2.88s/race, empty=0, err=0, saved=119]11:08:14 INFO src.database.init_db: 払戻保存: race_id=202608010512, 12 件
払戻取得:  13%|#3        | 120/910 [05:47<38:10,  2.90s/race, empty=0, err=0, saved=120]11:08:17 INFO src.database.init_db: 払戻保存: race_id=202606010601, 12 件
払戻取得:  13%|#3        | 121/910 [05:50<38:38,  2.94s/race, empty=0, err=0, saved=121]11:08:20 INFO src.database.init_db: 払戻保存: race_id=202606010602, 12 件
払戻取得:  13%|#3        | 122/910 [05:53<38:38,  2.94s/race, empty=0, err=0, saved=122]11:08:22 INFO src.database.init_db: 払戻保存: race_id=202606010603, 12 件
払戻取得:  14%|#3        | 123/910 [05:56<38:32,  2.94s/race, empty=0, err=0, saved=123]11:08:25 INFO src.database.init_db: 払戻保存: race_id=202606010604, 12 件
払戻取得:  14%|#3        | 124/910 [05:59<38:02,  2.90s/race, empty=0, err=0, saved=124]11:08:28 INFO src.database.init_db: 払戻保存: race_id=202606010605, 12 件
払戻取得:  14%|#3        | 125/910 [06:02<38:01,  2.91s/race, empty=0, err=0, saved=125]11:08:31 INFO src.database.init_db: 払戻保存: race_id=202606010606, 12 件
払戻取得:  14%|#3        | 126/910 [06:05<38:00,  2.91s/race, empty=0, err=0, saved=126]11:08:34 INFO src.database.init_db: 払戻保存: race_id=202606010607, 12 件
払戻取得:  14%|#3        | 127/910 [06:08<37:38,  2.88s/race, empty=0, err=0, saved=127]11:08:37 INFO src.database.init_db: 払戻保存: race_id=202606010608, 12 件
払戻取得:  14%|#4        | 128/910 [06:11<37:52,  2.91s/race, empty=0, err=0, saved=128]11:08:40 INFO src.database.init_db: 払戻保存: race_id=202606010609, 11 件
払戻取得:  14%|#4        | 129/910 [06:14<37:24,  2.87s/race, empty=0, err=0, saved=129]11:08:42 INFO src.database.init_db: 払戻保存: race_id=202606010610, 12 件
払戻取得:  14%|#4        | 130/910 [06:16<36:59,  2.85s/race, empty=0, err=0, saved=130]11:08:45 INFO src.database.init_db: 払戻保存: race_id=202606010611, 12 件
払戻取得:  14%|#4        | 131/910 [06:19<37:18,  2.87s/race, empty=0, err=0, saved=131]11:08:48 INFO src.database.init_db: 払戻保存: race_id=202606010612, 12 件
払戻取得:  15%|#4        | 132/910 [06:22<37:12,  2.87s/race, empty=0, err=0, saved=132]11:08:51 INFO src.database.init_db: 払戻保存: race_id=202608010601, 12 件
払戻取得:  15%|#4        | 133/910 [06:25<37:08,  2.87s/race, empty=0, err=0, saved=133]11:08:54 INFO src.database.init_db: 払戻保存: race_id=202608010602, 12 件
払戻取得:  15%|#4        | 134/910 [06:28<36:46,  2.84s/race, empty=0, err=0, saved=134]11:08:57 INFO src.database.init_db: 払戻保存: race_id=202608010603, 12 件
払戻取得:  15%|#4        | 135/910 [06:31<36:33,  2.83s/race, empty=0, err=0, saved=135]11:09:00 INFO src.database.init_db: 払戻保存: race_id=202608010604, 12 件
払戻取得:  15%|#4        | 136/910 [06:33<36:52,  2.86s/race, empty=0, err=0, saved=136]11:09:03 INFO src.database.init_db: 払戻保存: race_id=202608010605, 12 件
払戻取得:  15%|#5        | 137/910 [06:36<37:01,  2.87s/race, empty=0, err=0, saved=137]11:09:05 INFO src.database.init_db: 払戻保存: race_id=202608010606, 11 件
払戻取得:  15%|#5        | 138/910 [06:39<36:59,  2.88s/race, empty=0, err=0, saved=138]11:09:08 INFO src.database.init_db: 払戻保存: race_id=202608010607, 12 件
払戻取得:  15%|#5        | 139/910 [06:42<37:08,  2.89s/race, empty=0, err=0, saved=139]11:09:11 INFO src.database.init_db: 払戻保存: race_id=202608010608, 11 件
払戻取得:  15%|#5        | 140/910 [06:45<36:40,  2.86s/race, empty=0, err=0, saved=140]11:09:14 INFO src.database.init_db: 払戻保存: race_id=202608010609, 12 件
払戻取得:  15%|#5        | 141/910 [06:48<36:24,  2.84s/race, empty=0, err=0, saved=141]11:09:17 INFO src.database.init_db: 払戻保存: race_id=202608010610, 12 件
払戻取得:  16%|#5        | 142/910 [06:51<36:38,  2.86s/race, empty=0, err=0, saved=142]11:09:20 INFO src.database.init_db: 払戻保存: race_id=202608010611, 12 件
払戻取得:  16%|#5        | 143/910 [06:54<36:30,  2.86s/race, empty=0, err=0, saved=143]11:09:23 INFO src.database.init_db: 払戻保存: race_id=202608010612, 12 件
払戻取得:  16%|#5        | 144/910 [06:56<36:31,  2.86s/race, empty=0, err=0, saved=144]11:09:25 INFO src.database.init_db: 払戻保存: race_id=202606010701, 12 件
払戻取得:  16%|#5        | 145/910 [06:59<36:35,  2.87s/race, empty=0, err=0, saved=145]11:09:28 INFO src.database.init_db: 払戻保存: race_id=202606010702, 12 件
払戻取得:  16%|#6        | 146/910 [07:02<36:59,  2.90s/race, empty=0, err=0, saved=146]11:09:31 INFO src.database.init_db: 払戻保存: race_id=202606010703, 12 件
払戻取得:  16%|#6        | 147/910 [07:05<37:11,  2.92s/race, empty=0, err=0, saved=147]11:09:34 INFO src.database.init_db: 払戻保存: race_id=202606010704, 12 件
払戻取得:  16%|#6        | 148/910 [07:08<36:42,  2.89s/race, empty=0, err=0, saved=148]11:09:37 INFO src.database.init_db: 払戻保存: race_id=202606010705, 12 件
払戻取得:  16%|#6        | 149/910 [07:11<36:34,  2.88s/race, empty=0, err=0, saved=149]11:09:40 INFO src.database.init_db: 払戻保存: race_id=202606010706, 12 件
払戻取得:  16%|#6        | 150/910 [07:14<36:20,  2.87s/race, empty=0, err=0, saved=150]11:09:43 INFO src.database.init_db: 払戻保存: race_id=202606010707, 12 件
払戻取得:  17%|#6        | 151/910 [07:17<36:07,  2.86s/race, empty=0, err=0, saved=151]11:09:46 INFO src.database.init_db: 払戻保存: race_id=202606010708, 12 件
